0	3.000000000000000000e+00	-9.861228866810978211e-02
0	3.059167373200865736e+00	3.692745776079586761e-03
1	3.057106054691599795e+00	4.476150597731987091e-06
2	3.057103549998436254e+00	6.609823799408331979e-12
i	xn1	|f(xn1)|
0	2.419218645889002595e+00	-7.077003413730971193e-01
1	2.756039712206012737e+00	-4.421987159786224808e-01
2	3.317022504001124528e+00	5.354807316593783728e-01
3	3.009768959371031727e+00	-8.222996682146388459e-02
4	3.050670709725762375e+00	-1.145253099627896454e-02
5	3.057289041659919882e+00	3.315284194784773319e-04
6	3.057102843928874769e+00	-1.261809842834082929e-06
7	3.057103549917539631e+00	-1.379611980212303024e-10
0	7.500000000000000000e-01	3.357864375316648164e-01
0	6.883072461096190198e-01	2.819126094409840633e-02
1	6.820480691089074732e-01	3.223569161838746311e-04
2	6.819748188754781726e-01	4.453119850644782218e-08
i	xn1	|f(xn1)|
0	6.000000000071834538e-01	-3.021130326024732415e-01
1	6.524931709926384826e-01	-1.223535022224817581e-01
2	6.882226997650884304e-01	2.781052374753589795e-02
3	6.816055562648676291e-01	-1.623411658165485605e-03
4	6.819705209817478186e-01	-1.886410135076843630e-05
5	6.819748117435762147e-01	1.315406028545851314e-08
0	1.000000000000000000e+00	9.384000000000014552e-01
0	1.086488479262673001e+00	1.103492074945009449e-01
1	1.099705059195944523e+00	2.356555268455906571e-03
2	1.099999855116595704e+00	1.157039143606652942e-06
3	1.099999999999964784e+00	2.842170943040400743e-13
3	2.000000000000000000e+00	-5.615999999999914394e-01
3	2.197052631578943593e+00	-7.856349579718369114e-03
4	2.199996104132345032e+00	-1.037081801058548081e-05
5	2.199999999993081712e+00	-1.842437313825939782e-11
5	3.000000000000000000e+00	6.384000000000540354e-01
5	3.440275862069010593e+00	-3.907641462745559124e-01
6	3.303671611704973810e+00	-9.790032971999096389e-03
7	3.300006025678456467e+00	-1.604039996294659431e-05
8	3.300000000016511503e+00	-4.379074880489497446e-11
8	4.000000000000000000e+00	-1.461599999999968702e+00
8	9.846399999999542629e+00	2.384506005202102642e+03
9	8.126640001763215437e+00	7.490634404261433019e+02
10	6.855292323724135883e+00	2.338798817955868685e+02
11	5.926887819807208579e+00	7.215429434251882412e+01
12	5.265117717874522540e+00	2.170392183983540946e+01
13	4.816914023592059557e+00	6.151477500949745547e+00
14	4.547298051904491878e+00	1.486669115710192557e+00
15	4.426914650544905960e+00	2.247113466334624832e-01
16	4.401135803902439747e+00	9.087710209378485615e-03
17	4.400002144381176095e+00	1.712508953488622865e-05
18	4.400000000007631584e+00	6.077272018956136890e-11
0	3.000000000000000000e+00	-9.861228615045547485e-02
0	3.059167385101318359e+00	3.692767117172479630e-03
1	3.057106018066406250e+00	4.410697329149115831e-06
2	3.057103633880615234e+00	1.499124664405826479e-07
0	0.000000000000000000e+00	3.000000000000000000e+00
0	-9.999599456787109375e-01	2.930301707237958908e-04
1	-1.000252962112426758e+00	-1.841062214225530624e-03
2	-1.000000238418579102e+00	-4.292668052130466094e-07
0	3.000000000000000000e+00	9.861228866810978211e-02
0	2.704163133995670876e+00	-5.207513019400256127e-03
1	2.718245098722535502e+00	-1.351220623102555862e-05
2	2.718281828210896034e+00	-9.128897637822319666e-11
0	3.000000000000000000e+00	9.861228615045547485e-02
0	2.704163074493408203e+00	-5.207534879446029663e-03
1	2.718245029449462891e+00	-1.353769039269536734e-05
2	2.718281745910644531e+00	-3.036786111465517024e-08
i	xn1	|f(xn1)|
0	3.000000000000000000e+00	-9.861228866810978211e-02
1	3.500000000000000000e+00	9.972370315046319433e-01
2	3.250000000000000000e+00	3.838450036583538338e-01
3	3.125000000000000000e+00	1.261907168116351841e-01
4	3.062500000000000000e+00	9.674674129154681168e-03
5	3.031250000000000000e+00	-4.549851320365627672e-02
6	3.046875000000000000e+00	-1.816920957907486311e-02
7	3.054687500000000000e+00	-4.311573409498503651e-03
8	3.058593750000000000e+00	2.665476027821966909e-03
9	3.056640625000000000e+00	-8.270675343551303627e-04
10	3.057617187500000000e+00	9.181995684575117167e-04
11	3.057128906250000000e+00	4.531484340919433862e-05
12	3.056884765625000000e+00	-3.909391393928096647e-
